,ID,Language,Subscription_Type,Subscription_Event_Type,Purchase_Store,Purchase_Amount,Currency,USD_Price,Subscription_Start_Date,Subscription_Expiration,Demo_User,Free_Trial_User,Auto_Renew,Country,User_Type,Lead_Platform,Email_Subscriber,Push_Notifications,Send_Count,Open_Count,Click_Count,Unique_Open_Count,Unique_Click_Count
5068,11573,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,11/20/18,11/25/19,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0
5069,11582,ALL,Lifetime,INITIAL_PURCHASE,Web,189,USD,189,3/22/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,No,Yes,6,5,5,2,2
5070,11585,ITA,Limited,INITIAL_PURCHASE,Web,0,USD,0,5/28/19,8/28/19,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,186,6,0,3,0
5071,11586,ALL,Lifetime,INITIAL_PURCHASE,Web,212.93,USD,212.93,3/23/20,1/1/99,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,26,6,3,2,1
5072,11587,JPN,Limited,RENEWAL,App,54.99,USD,54.99,12/9/19,6/12/20,No,Yes,On,US/Canada,Consumer,App,Yes,Yes,4,0,0,0,0
5073,11589,ESP,Limited,INITIAL_PURCHASE,Web,43.02,USD,43.02,11/24/19,2/24/20,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,46,8,0,4,0
5074,11592,ENG,Limited,INITIAL_PURCHASE,Web,39.16,USD,39.16,7/21/19,10/21/19,Yes,No,On,US/Canada,Consumer,Web,Yes,Yes,154,0,0,0,0
5075,11594,ESP,Limited,RENEWAL,Web,35.97,USD,35.97,3/12/19,6/12/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,24,23,15,3,2
5076,11598,FRA,Limited,RENEWAL,Web,6.67,GBP,8.4042,10/28/18,11/28/19,No,No,Off,Europe,Consumer,Web,Yes,Yes,40,20,0,13,0
5077,11599,TGL,Limited,INITIAL_PURCHASE,Web,143.76,USD,143.76,12/16/19,12/16/21,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,1,0,0,0,0
5078,11600,ESP,Limited,INITIAL_PURCHASE,App,59.99,USD,59.99,1/1/20,7/1/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,5,0,0,0,0
5079,11602,ESP,Limited,RENEWAL,Web,79,USD,79,2/4/19,11/13/19,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,42,0,0,0,0
5080,11609,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,3/19/20,1/1/99,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,6,0,0,0,0
5081,11611,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,3/22/20,1/1/99,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,10,5,0,2,0
5082,11614,ALL,Lifetime,INITIAL_PURCHASE,Web,216.66,USD,216.66,3/14/20,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,170,24,1,17,1
5083,11618,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,3/30/20,1/1/99,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,21,2,0,2,0
5084,11619,FRA,Limited,RENEWAL,Web,79,USD,79,6/25/19,12/4/19,No,No,On,US/Canada,Consumer,Web,Yes,Yes,50,0,0,0,0
5085,11620,ENG,Lifetime,INITIAL_PURCHASE,Web,0,USD,0,2/7/19,1/1/99,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0
5086,11628,SVE,Limited,INITIAL_PURCHASE,Web,70.06,USD,70.06,7/6/19,1/6/20,No,No,On,Other,Other,Unknown,No,No,26,0,0,0,0
5087,11629,FRA,Limited,INITIAL_PURCHASE,Web,0,USD,0,11/24/18,2/24/20,No,No,Off,US/Canada,Consumer,Web,No,Yes,10,1,1,1,1
5088,11631,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,12/22/18,12/23/19,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,2,0,0,0,0
5089,11632,ESP,Limited,RENEWAL,Web,19.99,USD,19.99,1/22/19,2/13/20,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0
5090,11635,ESP,Limited,INITIAL_PURCHASE,Web,0,USD,0,11/20/18,11/20/19,Yes,No,Off,US/Canada,Consumer,Web,Yes,Yes,149,11,0,10,0
5091,11636,ENG,Limited,RENEWAL,App,69.99,USD,69.99,1/24/19,7/24/20,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,1,0,0,0,0
5092,11640,ALL,Lifetime,INITIAL_PURCHASE,Web,207.71,USD,207.71,2/20/20,1/1/99,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,119,73,6,63,2
5093,11642,TGL,Lifetime,INITIAL_PURCHASE,Web,189,USD,189,12/30/19,1/1/99,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,4,0,0,0,0
5094,11643,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,3/4/20,1/1/99,No,No,Off,Other,Other,Unknown,No,No,6,0,0,0,0
5095,11645,DEU,Limited,INITIAL_PURCHASE,Web,0,USD,0,6/15/19,9/18/19,No,Yes,Off,Other,Consumer,Web,Yes,Yes,74,0,0,0,0
5096,11650,ALL,Lifetime,INITIAL_PURCHASE,Web,199,USD,199,3/26/20,1/1/99,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,13,0,0,0,0
5097,11653,FRA,Limited,RENEWAL,Web,35.97,USD,35.97,7/2/19,7/5/20,No,Yes,On,US/Canada,Consumer,Web,Yes,Yes,5,3,0,1,0
5098,11654,ARA,Limited,RENEWAL,Web,19.99,USD,19.99,6/5/19,5/13/20,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,4,2,0,2,0
5099,11663,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,35.97,1/15/20,4/15/20,No,Yes,On,US/Canada,Consumer,Web,No,Yes,5,4,2,4,2
